id;amplitude;beyond1std;fpr_mid20;fpr_mid35;fpr_mid50;fpr_mid65;fpr_mid80;linear_trend;max_slope;mad;med_buf_per;pair_slope_trend;per_amp;pdfp;skew;skurt;std;stet_j;stet_k;ls;rcobor;class
3009148006870-nv;1.15499997139;0.0625;0.0154668996111;0.0884170010686;0.143574997783;0.167893007398;0.221610993147;1.77759993676e-05;217.949005127;0.140000000596;0.9375;0;5.57650995255;1.78649997711;-3.10853004456;13.6379003525;0.516707003117;0.427561998367;0.450937986374;2.98992991447;0;SN
3009148006930-nv;0.245000004768;0.166666999459;0.13999299705;0.210961997509;0.436969995499;0.487800985575;0.816089987755;-1.21263997244e-06;47.7854995728;0.0299999993294;1;0;0.106623999774;0.131585001945;3.14224004745;17.5587997437;0.0689728036523;-0.040392998606;0.729335010052;2.73621988297;0;SN
3009148006951-nv;0.524999976158;0.33333298564;0.13818000257;0.195195004344;0.25220900774;0.40851598978;0.76340597868;0.000123359001009;61.7715988159;0.135000005364;1;0.20000000298;0.72672098875;0.865473985672;-0.363422989845;1.67865002155;0.316724002361;0.336129009724;0.794717013836;3.3779900074;0;SN
3009148006959-nv;0.535000026226;0.34999999404;0.0599411018193;0.173338994384;0.268263995647;0.565181016922;0.721244990826;7.15556016075e-05;77.4411010742;0.135000005364;1;0.157894998789;0.499621003866;0.785899996758;0.572436988354;1.22212004662;0.271153002977;0.0188475996256;0.741576015949;2.28545999527;0;SN
3009148006975-nv;0.509999990463;0.375;0.0820458978415;0.187224000692;0.486128985882;0.692770004272;0.830276012421;-0.000141744007124;83.9160995483;0.140000000596;1;-0.103448003531;0.778261005878;0.698578000069;-0.53741902113;-0.160034999251;0.228108003736;0.180140003562;0.771762013435;3.82262992859;0;SN
3009148007017-nv;0.72000002861;0.285714000463;0.2678630054;0.466453999281;0.646595001221;0.826736986637;0.93432199955;0.000353379000444;163.218002319;0.439999997616;1;0;0.770108997822;1.22008001804;0.432260990143;-0.305994987488;0.497606992722;-0.881138980389;0.875284016132;1.51540994644;0;SN
3009148007019-nv;0.545000016689;0.232557997108;0.149030998349;0.273716002703;0.33752900362;0.412429004908;0.695585012436;-1.73950993485e-05;88.3837966919;0.129999995232;1;-0.0344827994704;1.12813997269;0.71474802494;-1.43797004223;2.93313002586;0.232941001654;-0.110174998641;0.671148002148;6.37104988098;0;SN
3009148007029-nv;0.144999995828;0.25;0;0.0294118002057;0.294117987156;0.558824002743;0.823529005051;-7.00227028574e-05;0.000697814975865;0.0250000003725;1;0.33333298564;0.247383996844;0.248531997204;-1.0382399559;0;0.112998999655;-0.121326997876;0.812075018883;18.414899826;0;SN
3009148007059-nv;0.769999980927;0.5;0.22222200036;0.388889014721;0.555555999279;0.722221970558;0.888889014721;-0.001362639945;0.001362639945;0.769999980927;1;-1;0.610172986984;1.09830999374;6.93078991618e-15;0;0.769999980927;-3.80973005295;0.932568013668;4520.62988281;0;SN
3009148007087-nv;0.0500000007451;0.5;0.22222200036;0.388889014721;0.555555999279;0.722221970558;0.888889014721;-0.000290745985694;0.000290745985694;0.0500000007451;1;-1;0.0460192002356;0.0828344970942;0;0;0.0500000007451;-0.328976005316;0.999729990959;1375.77001953;0;SN
