Name;logre_arcsec;logre_as_err;logre_parsec;logre_ps_err;mre;mre_err;Mre;Mre_err;mue;mue_err;Ellre;Ellre_err;logsig_v;logsig_v_err
NGC6173;1.35;0.01;3.99;0.01;12.13;0.03;-22.64;0.03;19.77;0.04;0.32;0.01;2.336;0.073
NGC7391;1.23;0.01;3.36;0.01;12.03;0.12;-20.23;0.12;19.23;0.15;0.14;0.02;2.481;0.066
NGC7454;1.75;0.03;3.71;0.03;11.14;0.19;-20.24;0.19;21.16;0.28;0.16;0.04;2.134;0.042
NGC7458;1.04;0.01;3.4;0.01;12.69;0.12;-20.67;0.12;18.79;0.13;0.23;0.01;2.167;0.171
NGC7562;1.42;0.02;3.64;0.02;11.18;0.29;-21.47;0.29;19.11;0.3;0.31;0.02;2.459;0.045
NGC7619;1.32;0.01;3.57;0.01;11.28;0.06;-21.51;0.06;18.85;0.08;0.22;0.01;2.519;0.026
NGC7626;1.57;0.01;3.76;0.01;10.91;0.21;-21.63;0.21;19.85;0.23;0.12;0.02;2.431;0.032
NGC7660;1.11;0.01;3.55;0.01;12.4;0.27;-21.33;0.27;18.92;0.29;0.25;0.02;2.32;0.08
NGC7768;1.34;0.02;3.93;0.02;12.1;0.18;-22.41;0.18;19.7;0.22;0.28;0.02;2.56;0.023
NGC7778;1.52;0.03;3.9;0.03;11.78;0.18;-21.72;0.18;20.54;0.25;0.09;0.02;2.322;0.108
NGC7785;1.55;0.02;3.8;0.02;11.23;0.17;-21.57;0.17;19.65;0.21;0.44;0.01;2.382;0.045
IC179;1.15;0.01;3.47;0.02;12.45;0.14;-20.73;0.14;19.28;0.17;0.16;0.02;2.447;0.03
IC962;0.8;0.04;3.31;0.04;13.24;0.22;-20.86;0.22;18.31;0.28;0.1;0.01;2.185;0.086
IC1211;1.1;0.02;3.56;0.02;12.75;0.13;-21.11;0.13;19.33;0.17;0.13;0.01;2.212;0.123
IC4051;0.88;0.02;3.3;0.02;14.11;0.18;-19.58;0.18;19.56;0.21;0.17;0.02;2.362;0.017
