RA,Dec,mag,cz
7.481583333,69.215,11.6,112
12.26505556,13.14972222,11.2,124
1.122888889,16.68388889,14.5,127
12.55277778,11.3475,15.4,129
7.614361111,65.60361111,9.3,132
9.67625,71.18166667,15.5,140
12.66666667,61.60805556,10.8,143
13.91263889,53.90444444,14.2,144
18.69313889,8.138888889,15,145
10.09208333,0.073055556,15.5,149
12.37538889,15.53777778,12.9,153
14.26572222,23.05555556,15.3,154
1.825555556,32.58972222,13,156
8.320194444,70.71833333,11.3,157
8.6175,69.77527778,15.3,157
12.26305556,52.38805556,15.3,162
12.44747222,13.17694444,15.2,162
12.20252778,36.16888889,13.7,163
14.41225,44.52583333,13.9,165
10.50966667,70.62055556,15.1,180
2.021388889,28.8375,12.1,182
12.71138889,14.29611111,13.6,182
13.24088889,45.92222222,14,192
12.46136111,43.49555556,14.7,195
12.47869444,11.75527778,13.1,195
12.46977778,44.09333333,10,200
13.66502778,40.73972222,15.3,202
13.84738889,38.01916667,15.4,204
12.17602778,30.40166667,12.6,208
12.06725,52.59083333,13.3,213
12.27297222,13.30722222,14.6,215
11.59680556,54.52444444,11.5,217
12.32741667,29.88305556,15.4,225
12.36136111,11.50083333,12.8,226
12.26480556,13.21583333,15.4,228
12.97786111,14.21722222,15.3,230
11.60169444,45.28472222,14.2,235
13.49347222,58.41916667,11.7,239
3.535388889,47.79388889,15,242
11.84816667,38.87916667,15.1,242
12.70241667,11.75416667,15.1,243
13.57847222,51.61472222,14.2,244
12.22902778,36.635,13.5,247
9.9325,69.68611111,9.2,253
12.43547222,13.11333333,13.6,256
12.29138889,37.80527778,10.8,259
12.56333333,15.16805556,15.1,259
12.24861111,13.46055556,15.3,260
11.55802778,49.23916667,13.9,264
12.18608333,13.58777778,15.1,264
14.05347222,54.34888889,8.7,267
12.261,36.32638889,10.3,268
0.128888889,40.87583333,15.5,270
7.698722222,16.8025,15.4,272
14.09244444,54.46083333,14.5,273
13.65558333,24.77694444,14.8,275
12.50019444,7.928888889,15.4,276
12.53222222,12.17416667,15.5,278
12.43808333,48.49388889,15.3,281
12.84805556,41.12083333,8.7,287
10.14077778,12.31805556,11.3,290
12.16647222,46.45777778,12.3,293
12.71025,14.35694444,14.7,293
14.08375,53.6625,11.9,294
23.63733333,30.70833333,15.1,297
10.00002778,5.332222222,12.2,301
12.43027778,33.5475,11.7,303
14.32997222,56.72944444,11.7,303
12.47741667,35.71722222,15.3,307
12.61569444,14.21722222,13.6,313
7.231,10.52194444,14.9,314
12.59441667,12.55666667,11.1,321
